id	name
10216	Microsoft SQL Server 2008 for x64-based Systems Service Pack 3 (QFE)
10086	Microsoft SQL Server 2008 R2 for 32-bit Systems
10367	Microsoft SQL Server 2008 R2 for 32-bit Systems Service Pack 1
10386	Microsoft SQL Server 2008 R2 for 32-bit Systems Service Pack 1 (QFE)
10368	Microsoft SQL Server 2008 R2 for 32-bit Systems Service Pack 2
10088	Microsoft SQL Server 2008 R2 for Itanium-Based Systems
10371	Microsoft SQL Server 2008 R2 for Itanium-based Systems Service Pack 1
10391	Microsoft SQL Server 2008 R2 for Itanium-based Systems Service Pack 1 (QFE)
10372	Microsoft SQL Server 2008 R2 for Itanium-based Systems Service Pack 2
10087	Microsoft SQL Server 2008 R2 for x64-based Systems
10369	Microsoft SQL Server 2008 R2 for x64-based Systems Service Pack 1
10388	Microsoft SQL Server 2008 R2 for x64-based Systems Service Pack 1 (QFE)
10370	Microsoft SQL Server 2008 R2 for x64-based Systems Service Pack 2
10302	Microsoft SQL Server 2012 for 32-bit Systems
10301	Microsoft SQL Server 2012 for 32-bit Systems (QFE)
10299	Microsoft SQL Server 2012 for x64-based Systems
10300	Microsoft SQL Server 2012 for x64-based Systems (QFE)
10637	Microsoft SQL Server 2014 for 32-bit Systems
10634	Microsoft SQL Server 2014 for x64-based Systems
10095	Microsoft SQL Server Management Studio Express (SSMSE) 2005
10348	Microsoft System Center 2012 Configuration Manager 
10352	Microsoft System Center 2012 Operations Manager
10346	Microsoft System Center Configuration Manager 2007 R2 
10347	Microsoft System Center Configuration Manager 2007 R3 
10345	Microsoft System Center Configuration Manager 2007 Service Pack 2
10356	Microsoft System Center Operations Manager 2007 R2
10355	Microsoft System Center Operations Manager 2007 Service Pack 1
3452	Microsoft Systems Management Server 2003 Service Pack 3
5598	Microsoft Visio 2003 Service Pack 3
10033	Microsoft Visio 2007 Service Pack 2
10161	Microsoft Visio 2007 Service Pack 3
10198	Microsoft Visio 2010 Service Pack 1 (32-bit editions)
10199	Microsoft Visio 2010 Service Pack 1 (64-bit editions)
10321	Microsoft Visio 2013 (32-bit editions)
10322	Microsoft Visio 2013 (64-bit editions)
10265	Microsoft Visio Viewer 2010 Service Pack 1 (32-bit Edition)
10266	Microsoft Visio Viewer 2010 Service Pack 1 (64-bit Edition)
10454	Microsoft Visio Viewer 2013 (32-bit Edition)
10455	Microsoft Visio Viewer 2013 (64-bit Edition)
9481	Microsoft Visual Basic for Applications 6.3
9482	Microsoft Visual Basic for Applications 6.4
9483	Microsoft Visual Basic for Applications 6.5
9484	Microsoft Visual Basic for Applications SDK 6.3
9485	Microsoft Visual Basic for Applications SDK 6.4
9486	Microsoft Visual Basic for Applications SDK 6.5
7400	Microsoft Visual FoxPro 8.0 Service Pack 1
8577	Microsoft Visual FoxPro 9.0 Service Pack 2
6475	Microsoft Visual Studio .NET 2003 Service Pack 1
3845	Microsoft Visual Studio 2005 Service Pack 1
4992	Microsoft Visual Studio 2008 Service Pack 1
10098	Microsoft Visual Studio 2010 Service Pack 1
10326	Microsoft Visual Studio 2012
10174	Microsoft Visual Studio LightSwitch 2011
10382	Microsoft Visual Studio Team Foundation Server 2005 Service Pack 1
10383	Microsoft Visual Studio Team Foundation Server 2008 Service Pack 1
10380	Microsoft Visual Studio Team Foundation Server 2010 Service Pack 1
10381	Microsoft Visual Studio Team Foundation Server 2012
10565	Microsoft Visual Studio Team Foundation Server 2013 
10410	Microsoft Web Apps Server 2013
3954	Microsoft Windows 2000 Service Pack 4
6236	Microsoft Windows 7 for 32-bit Systems Service Pack 2
9244	Microsoft Windows NT Workstation 4.0 Service Pack 6a
1414	Microsoft Windows Server 2003
5177	Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 1
6236	Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2
6236	Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2 
104	Microsoft Windows Server 2003 R2 Service Pack 2
5867	Microsoft Windows Server 2003 R2 x64 Edition Service Pack 2
4301	Microsoft Windows Server 2003 Service Pack 1
4898	Microsoft Windows Server 2003 Service Pack 2
4898	Microsoft Windows Server 2003 Service Pack 2 
6236	Microsoft Windows Server 2003 with SP2 for Itanium-based Systems
9245	Microsoft Windows Server 2003 x64 Edition
5867	Microsoft Windows Server 2003 x64 Edition Service Pack 2
5867	Microsoft Windows Server 2003 x64 Edition Service Pack 2 
9442	Microsoft Windows SharePoint Services 2.0 (32-bit editions)
9443	Microsoft Windows SharePoint Services 2.0 (64-bit editions)
9446	Microsoft Windows SharePoint Services 3.0 Service Pack 2 (32-bit version)
